SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR810619	Heart	28.1182	0	0
SRR1433131	Blood Vessel	27.0468	0	0
SRR660426	Skin	20.5036	0	0
SRR662462	Skin	18.8588	0	0
SRR658837	Skin	18.6104	0	0
SRR659049	Nerve	18.3581	0	0
SRR1340598	Ovary	18.2956	0	0
SRR1360194	Colon	17.263	0	0
SRR661373	Skin	15.1959	0	0
SRR1382912	Nerve	14.0991	0	0
SRR655911	Nerve	13.8189	0	0
SRR1360695	Adipose Tissue	13.6048	0	0
SRR1320601	Esophagus	13.5211	0	0
SRR659212	Adipose Tissue	13.2275	0	0
SRR1400799	Esophagus	13.1527	0	0
SRR1406954	Skin	13.1527	0	0
SRR1319584	Esophagus	12.9866	0	0
SRR1442440	Colon	12.9383	0	0
SRR659247	Skin	12.8846	0	0
SRR1085996	Adipose Tissue	12.6596	0	0
SRR1444138	Adipose Tissue	12.2118	0	0
SRR662414	Nerve	11.9427	0	0
SRR657985	Skin	11.4351	0	0
SRR1485190	Skin	27.3774	0.701985	0.0128205
SRR1416337	Skin	11.0818	0	0
SRR1322918	Esophagus	10.8554	0	0
SRR663261	Brain	10.6396	0	0
SRR615237	Adipose Tissue	10.5911	0	0
SRR1346861	Breast	10.5589	0	0
SRR1479286	Heart	10.1369	0	0
SRR613318	Blood Vessel	9.99946	0	0
SRR1360258	Colon	9.66377	0	0
SRR612407	Brain	9.61118	0	0
SRR1345369	Nerve	9.58136	0	0
SRR1476231	Blood Vessel	28.1287	0.937624	0.0166667
SRR664842	Brain	9.45224	0	0
SRR1396804	Blood Vessel	28.0809	0.985294	0.0175438
SRR1453591	Stomach	18.9596	0.526657	0.0138889
SRR1073143	Brain	8.93924	0	0
SRR1328577	Breast	23.4626	0.837948	0.0178571
SRR1353353	Skin	19.5878	0.631865	0.016129
SRR1453639	Nerve	8.09967	0	0
SRR1415420	Breast	8.09372	0	0
SRR660007	Brain	8.08773	0	0
SRR1366412	Small Intestine	7.93825	0	0
SRR1386945	Breast	15.5403	0.457067	0.0147059
SRR1431104	Uterus	7.7368	0	0
SRR1349387	Skin	7.68731	0	0
SRR661973	Brain	7.63998	0	0
SRR614802	Brain	7.39143	0	0
SRR1396640	Brain	7.30613	0	0
SRR613390	Adipose Tissue	7.29712	0	0
SRR663296	Muscle	7.28237	0	0
SRR1499873	Blood Vessel	31.9599	1.598	0.0250001
SRR1414058	Skin	20.3363	0.847346	0.0208333
SRR660283	Breast	7.21507	0	0
SRR615994	Nerve	7.06455	0	0
SRR659389	Blood Vessel	18.1567	0.741089	0.0204081
SRR1323628	Heart	6.98029	0	0
SRR1100893	Breast	17.3393	0.693572	0.02
SRR1097270	Skin	6.83713	0	0
SRR663076	Adipose Tissue	26.9985	1.38454	0.0256411
SRR1098050	Esophagus	17.0299	0.709581	0.0208334
SRR813656	Muscle	6.72695	0	0
SRR665502	Brain	6.64846	0	0
SRR660534	Blood Vessel	32.2599	1.79222	0.0277778
SRR1077183	Blood Vessel	6.57313	0	0
SRR817797	Brain	6.46639	0	0
SRR1389747	Blood Vessel	18.7826	0.894407	0.0238095
SRR656994	Nerve	6.26519	0	0
SRR1478207	Skin	13.5797	0.543187	0.02
SRR1416911	Nerve	17.4206	0.829553	0.0238095
SRR660709	Muscle	6.22694	0	0
SRR657599	Adipose Tissue	19.0129	0.950645	0.025
SRR1097013	Adipose Tissue	19.7171	1.01113	0.0256409
SRR660474	Skin	6.05815	0	0
SRR1120869	Adrenal Gland	30.7298	1.88142	0.0306123
SRR1071453	Adipose Tissue	16.1238	0.767798	0.0238095
SRR1414613	Pancreas	6.00345	0	0
SRR613896	Adipose Tissue	19.0119	1.00062	0.0263156
SRR658873	Skin	28.5151	1.74582	0.0306122
SRR1329761	Brain	5.85685	0	0
SRR1485722	Adipose Tissue	19.4033	1.07796	0.0277777
SRR613843	Blood Vessel	22.4386	1.31992	0.0294118
SRR1087197	Heart	5.7941	0	0
SRR1317022	Skin	13.3677	0.607623	0.0227273
SRR1443734	Skin	5.74853	0	0
SRR1309875	Pancreas	5.64997	0	0
SRR656493	Brain	5.63375	0	0
SRR1341854	Adrenal Gland	32.7242	2.21859	0.0338983
SRR1321570	Blood Vessel	26.1478	1.68696	0.0322582
SRR1397627	Skin	15.482	0.814841	0.0263158
SRR1485438	Liver	5.53904	0	0
SRR819134	Brain	5.53277	0	0
SRR1404003	Skin	13.9324	0.696618	0.0249999
SRR1403240	Skin	23.7423	1.53176	0.032258
SRR1097296	Bladder	14.7102	0.817234	0.0277778
SRR1417936	Blood Vessel	25.79	1.77862	0.0344827
SRR1468360	Nerve	13.3335	0.701762	0.0263157
SRR1352597	Testis	5.20056	0	0
SRR1393449	Muscle	5.18511	0	0
SRR1382508	Heart	5.1601	0	0
SRR1329508	Small Intestine	15.3847	0.90498	0.0294117
SRR1324206	Breast	13.2203	0.734461	0.0277778
SRR1098361	Stomach	4.95853	0	0
SRR612503	Skin	4.9411	0	0
SRR615371	Blood Vessel	22.1312	1.5808	0.0357143
SRR1468595	Heart	4.91078	0	0
SRR1468766	Skin	21.0819	1.50585	0.0357143
SRR1070841	Skin	13.2606	0.780037	0.0294118
SRR1440058	Brain	4.8631	0	0
SRR654730	Adipose Tissue	27.3249	2.10192	0.0384616
SRR1355660	Heart	4.8233	0	0
SRR1399028	Brain	4.81061	0	0
SRR663197	Adipose Tissue	4.80814	0	0
SRR1370329	Adipose Tissue	21.9565	1.62641	0.0370371
SRR1376852	Liver	4.73264	0	0
SRR612275	Skin	18.6401	1.33144	0.0357144
SRR1379519	Esophagus	16.8836	1.16439	0.0344829
SRR1383699	Adipose Tissue	29.0881	2.34581	0.0403225
SRR1343859	Heart	4.67623	0	0
SRR1367544	Colon	17.9283	1.2806	0.0357145
SRR1336069	Brain	4.65578	0	0
SRR819820	Adipose Tissue	13.901	0.896839	0.0322581
SRR615096	Brain	4.65439	0	0
SRR1389497	Muscle	4.64592	0	0
SRR1444786	Nerve	11.7192	0.689365	0.0294118
SRR1339387	Brain	4.63231	0	0
SRR1316214	Esophagus	27.332	2.21611	0.0405406
SRR612994	Skin	17.1669	1.22621	0.0357144
SRR1383213	Stomach	4.61612	0	0
SRR1345871	Stomach	4.61602	0	0
SRR1481260	Skin	11.5659	0.680349	0.0294118
SRR1376939	Adipose Tissue	19.6364	1.47273	0.0375
SRR1403502	Blood Vessel	12.7027	0.793919	0.03125
SRR1468532	Muscle	4.579	0	0
SRR1457854	Adipose Tissue	12.1441	0.759009	0.0312501
SRR1341277	Brain	4.50546	0	0
SRR655768	Adipose Tissue	4.48085	0	0
SRR657054	Muscle	4.47677	0	0
SRR658989	Muscle	4.46909	0	0
SRR1077263	Skin	4.44917	0	0
SRR665670	Brain	4.4279	0	0
SRR660079	Thyroid	17.9381	1.37986	0.0384617
SRR1416735	Esophagus	23.9137	1.99281	0.0416667
SRR1416654	Adipose Tissue	20.1856	1.61485	0.04
SRR659708	Muscle	4.38881	0	0
SRR808106	Skin	13.3194	0.918579	0.0344827
SRR655720	Blood Vessel	17.313	1.33177	0.0384616
SRR1419593	Thyroid	17.1938	1.3226	0.0384615
SRR1471817	Brain	4.34811	0	0
SRR1434138	Brain	4.33696	0	0
SRR1312684	Muscle	4.31313	0	0
SRR1464915	Muscle	4.30201	0	0
SRR1327680	Heart	4.27067	0	0
SRR1323746	Brain	4.2625	0	0
SRR1469880	Nerve	9.69067	0.570039	0.0294117
SRR1433555	Adipose Tissue	10.5038	0.656486	0.0312499
SRR1441725	Heart	4.24084	0	0
SRR662749	Heart	4.22236	0	0
SRR814387	Adipose Tissue	21.1126	1.7892	0.0423728
SRR807543	Adipose Tissue	17.8409	1.44656	0.0405406
SRR1319837	Brain	4.20528	0	0
SRR615754	Nerve	4.18981	0	0
SRR663537	Blood Vessel	35.6101	3.39144	0.0476191
SRR1467726	Esophagus	26.314	2.39218	0.0454545
SRR1095455	Adipose Tissue	12.2288	0.873486	0.0357143
SRR1098831	Esophagus	12.2137	0.872407	0.0357143
SRR1498505	Colon	17.8922	1.49102	0.0416668
SRR1366450	Skin	14.1448	1.08806	0.0384615
SRR615838	Brain	4.10363	0	0
SRR812697	Colon	4.10331	0	0
SRR1467194	Colon	15.4259	1.23408	0.0400003
SRR660066	Muscle	4.0803	0	0
SRR1445550	Uterus	20.7433	1.83029	0.0441176
SRR1435982	Blood Vessel	29.9849	2.8557	0.047619
SRR655613	Skin	16.6032	1.3836	0.0416667
SRR1347500	Heart	4.03476	0	0
SRR1474018	Blood Vessel	48.1162	4.88136	0.0507247
SRR1354931	Adipose Tissue	3.99112	0	0
SRR1384692	Blood Vessel	32.1079	3.13248	0.0487805
SRR1313853	Heart	11.01	0.786427	0.0357142
SRR1460187	Blood Vessel	26.2873	2.50355	0.047619
SRR1465824	Esophagus	10.8821	0.777293	0.0357143
SRR615105	Muscle	3.95398	0	0
SRR614251	Muscle	3.93033	0	0
SRR1410720	Colon	19.9296	1.81178	0.0454545
SRR1433750	Brain	3.9147	0	0
SRR663783	Adipose Tissue	9.50455	0.633637	0.0333334
SRR808244	Muscle	3.90968	0	0
SRR1318898	Thyroid	17.6189	1.55461	0.0441177
SRR1092493	Colon	11.9961	0.922777	0.0384615
SRR1478900	Heart	3.88178	0	0
SRR1351082	Esophagus	31.167	3.1167	0.05
SRR1480525	Skin	21.5025	2.01586	0.046875
SRR1401276	Brain	3.86837	0	0
SRR655218	Brain	10.9141	0.808453	0.0370371
SRR1500555	Blood Vessel	24.724	2.39265	0.0483872
SRR1353663	Muscle	3.84233	0	0
SRR1475633	Stomach	10.1098	0.722125	0.0357141
SRR1373694	Adipose Tissue	11.5465	0.888195	0.0384617
SRR1404951	Colon	20.3533	1.90813	0.0468752
SRR1440445	Heart	3.80943	0	0
SRR1434355	Skin	17.5253	1.59321	0.0454546
SRR599086	Heart	3.7986	0	0
SRR1410634	Colon	11.2029	0.861763	0.0384616
SRR1101808	Blood Vessel	17.1057	1.55506	0.0454544
SRR1353642	Skin	26.2041	2.62041	0.05
SRR1487867	Stomach	10.9889	0.845296	0.0384614
SRR1075102	Liver	3.76435	0	0
SRR1309745	Uterus	21.1632	2.04805	0.0483871
SRR612839	Muscle	3.73977	0	0
SRR1432802	Nerve	16.2554	1.47776	0.0454544
SRR660945	Brain	3.68948	0	0
SRR1375593	Esophagus	19.4659	1.88379	0.0483869
SRR1407087	Skin	31.1506	3.27901	0.0526316
SRR1433171	Ovary	15.3781	1.39801	0.0454546
SRR1464494	Esophagus	10.2423	0.787868	0.0384615
SRR819293	Blood Vessel	32.6539	3.48308	0.0533333
SRR1474208	Uterus	21.4797	2.14797	0.05
SRR657587	Brain	3.64832	0	0
SRR1095575	Adipose Tissue	10.0566	0.773581	0.0384614
SRR602461	Heart	3.64414	0	0
SRR658621	Blood Vessel	28.4448	2.99419	0.0526316
SRR811073	Breast	8.11083	0.540722	0.0333333
SRR820427	Skin	11.6877	0.973977	0.0416668
SRR1452334	Muscle	3.6322	0	0
SRR1374355	Colon	27.8796	2.9347	0.0526317
SRR1071905	Breast	3.62715	0	0
SRR1433152	Stomach	9.85393	0.757995	0.0384616
SRR1367807	Blood Vessel	23.997	2.48245	0.0517242
SRR1397926	Skin	8.71993	0.622852	0.0357143
SRR1312822	Breast	16.4302	1.56478	0.047619
SRR1452696	Muscle	3.58439	0	0
SRR1400008	Colon	13.8675	1.26068	0.0454545
SRR1357709	Skin	22.4639	2.32385	0.0517241
SRR1498290	Colon	23.3167	2.42882	0.0520833
SRR1471350	Brain	3.56124	0	0
SRR1479133	Adipose Tissue	13.4823	1.22566	0.0454544
SRR818821	Adipose Tissue	10.9026	0.908552	0.0416668
SRR1500006	Skin	9.38591	0.721993	0.0384615
SRR1431452	Skin	9.33037	0.717721	0.0384616
SRR1328919	Brain	9.23384	0.710295	0.0384615
SRR1087031	Brain	3.51896	0	0
SRR603212	Skin	9.1856	0.706584	0.0384615
SRR1499371	Blood Vessel	22.6261	2.38169	0.0526315
SRR1342721	Esophagus	14.7712	1.40678	0.047619
SRR1101280	Colon	17.2554	1.72554	0.05
SRR1402962	Adipose Tissue	26.8868	2.93311	0.0545455
SRR660212	Thyroid	3.48435	0	0
SRR1339812	Esophagus	14.1657	1.34912	0.0476192
SRR1473529	Adipose Tissue	13.9355	1.32719	0.047619
SRR1362438	Skin	20.4683	2.15456	0.0526316
SRR1478855	Stomach	7.25151	0.483434	0.0333333
SRR1328797	Muscle	7.86111	0.561508	0.0357143
SRR1091597	Skin	18.535	1.91742	0.0517243
SRR1473548	Skin	13.6919	1.30399	0.047619
SRR1068977	Breast	22.8931	2.47493	0.0540541
SRR816064	Heart	3.43121	0	0
SRR1312577	Colon	17.6871	1.81406	0.051282
SRR1334181	Colon	9.91525	0.826271	0.0416667
SRR661325	Brain	3.4246	0	0
SRR1342739	Muscle	3.42232	0	0
SRR1385364	Heart	8.5578	0.658292	0.0384615
SRR614814	Brain	3.40936	0	0
SRR1416495	Skin	30.4672	3.46218	0.0568182
SRR1452785	Esophagus	34.3073	3.95854	0.0576924
SRR1357323	Blood Vessel	8.39733	0.645949	0.0384616
SRR1375439	Muscle	3.37449	0	0
SRR1329929	Esophagus	24.2557	2.69508	0.0555556
SRR658152	Skin	47.974	5.75689	0.0600001
SRR1433004	Adipose Tissue	19.3045	2.06834	0.0535714
SRR612539	Muscle	3.3444	0	0
SRR1443776	Liver	3.3377	0	0
SRR1407410	Nerve	19.6018	2.11912	0.0540542
SRR613510	Heart	3.33507	0	0
SRR615814	Muscle	3.31402	0	0
SRR1453831	Stomach	3.31376	0	0
SRR1470556	Esophagus	15.5783	1.61155	0.0517242
SRR1413223	Blood Vessel	28.6819	3.3351	0.0581395
SRR809089	Blood Vessel	33.9002	4.02206	0.0593221
SRR656516	Brain	3.29446	0	0
SRR1447612	Skin	24.4166	2.79047	0.0571429
SRR1334919	Heart	3.27169	0	0
SRR1342995	Testis	3.26487	0	0
SRR1437208	Heart	13.1327	1.31327	0.05
SRR1070597	Nerve	12.9693	1.29693	0.05
SRR1489349	Colon	14.4291	1.49266	0.0517239
SRR1098495	Stomach	3.24531	0	0
SRR1332164	Skin	7.62008	0.58616	0.0384615
SRR1405331	Adipose Tissue	15.1223	1.59182	0.0526315
SRR1475501	Nerve	16.1733	1.73286	0.0535716
SRR1102369	Stomach	3.23069	0	0
SRR665563	Brain	3.22888	0	0
SRR815374	Skin	14.0835	1.45691	0.051724
SRR1435372	Pituitary	23.898	2.77883	0.0581394
SRR1418085	Adipose Tissue	14.8594	1.56415	0.0526317
SRR1097929	Uterus	14.843	1.56242	0.0526315
SRR613963	Blood	28.1394	3.34992	0.0595237
SRR1335355	Skin	12.5629	1.25629	0.05
SRR1380393	Adipose Tissue	14.681	1.54537	0.0526316
SRR1352299	Skin	14.6478	1.54187	0.0526315
SRR1102393	Blood Vessel	43.8644	5.48305	0.0625
SRR1404062	Stomach	8.3754	0.69795	0.0416667
SRR1069778	Stomach	3.20017	0	0
SRR1488491	Esophagus	22.8829	2.6608	0.0581395
SRR1490246	Breast	12.2643	1.22643	0.05
SRR615056	Blood Vessel	24.3774	2.86793	0.0588235
SRR1399009	Testis	3.19255	0	0
SRR1447673	Heart	9.64719	0.877017	0.0454545
SRR1393488	Skin	8.24957	0.687464	0.0416667
SRR1398430	Small Intestine	10.6372	1.01307	0.0476192
SRR1457619	Skin	23.6387	2.78102	0.0588235
SRR1417632	Adipose Tissue	13.8674	1.45972	0.0526314
SRR1105009	Breast	13.816	1.45432	0.0526317
SRR1413100	Stomach	3.16112	0	0
SRR1357189	Brain	3.16071	0	0
SRR1099189	Blood Vessel	24.4057	2.90544	0.0595238
SRR1402491	Nerve	13.6621	1.43812	0.0526317
SRR1413373	Ovary	13.6217	1.43386	0.0526315
SRR1479595	Skin	22.3573	2.63027	0.0588235
SRR1415113	Skin	21.9019	2.57669	0.0588234
SRR1380952	Blood Vessel	24.4156	2.92988	0.0600002
SRR1420891	Brain	3.12935	0	0
SRR1430972	Brain	3.11797	0	0
SRR1419297	Skin	9.0492	0.822655	0.0454546
SRR1479888	Skin	31.7982	3.97477	0.0624999
SRR1356036	Brain	3.10626	0	0
SRR1332526	Skin	21.7853	2.59349	0.0595239
SRR1341100	Breast	20.2721	2.38496	0.0588237
SRR1453235	Ovary	15.4287	1.7143	0.0555556
SRR1394613	Skin	20.126	2.36776	0.0588234
SRR1408471	Adipose Tissue	21.3316	2.53947	0.0595237
SRR1435229	Adipose Tissue	12.5638	1.32251	0.0526318
SRR1420109	Adipose Tissue	15.0181	1.66867	0.0555553
SRR1429265	Muscle	7.60678	0.633898	0.0416666
SRR1100419	Adipose Tissue	17.4842	2.01741	0.0576924
SRR817539	Nerve	6.80863	0.523741	0.0384616
SRR1490635	Colon	17.2671	1.99236	0.0576924
SRR1368072	Muscle	3.06193	0	0
SRR655590	Brain	3.05891	0	0
SRR1102780	Ovary	12.1629	1.28031	0.0526318
SRR1311153	Skin	14.5159	1.61287	0.0555553
SRR1075874	Stomach	3.05063	0	0
SRR655170	Muscle	3.04502	0	0
SRR1442630	Blood Vessel	51.8083	6.90777	0.0666666
SRR1455127	Blood Vessel	39.6835	5.20439	0.0655737
SRR1486195	Adipose Tissue	16.1429	1.86264	0.0576922
SRR1312558	Lung	19.1855	2.30226	0.06
SRR662811	Breast	24.6391	3.07988	0.0624998
SRR1074140	Fallopian Tube	13.6032	1.51147	0.0555557
SRR1071737	Uterus	18.9241	2.27089	0.0599999
SRR1479721	Colon	8.28044	0.752767	0.0454545
SRR1445637	Adipose Tissue	23.4939	2.93674	0.0625001
SRR1334154	Heart	13.3348	1.48164	0.0555554
SRR1091743	Esophagus	17.9914	2.15897	0.0600001
SRR1380764	Adipose Tissue	17.8533	2.1424	0.0600001
SRR1454009	Breast	8.03855	0.730778	0.0454546
SRR1081567	Adipose Tissue	12.7763	1.41959	0.0555556
SRR1476407	Brain	2.95541	0	0
SRR1101566	Adrenal Gland	25.1228	3.22087	0.0641025
SRR1074790	Blood Vessel	31.9828	4.23302	0.0661765
SRR1364780	Heart	2.92379	0	0
SRR1430111	Blood Vessel	20.2115	2.52644	0.0625001
SRR1429678	Adipose Tissue	16.3117	1.9574	0.0599999
SRR1476676	Brain	2.91579	0	0
SRR1469237	Breast	16.1369	1.93642	0.0599998
SRR1098588	Stomach	7.67882	0.698074	0.0454545
SRR1465092	Blood Vessel	19.6195	2.45243	0.0624998
SRR1458290	Adipose Tissue	22.8626	2.93111	0.0641027
SRR1316624	Brain	2.89924	0	0
SRR1433971	Brain	2.89795	0	0
SRR1348226	Heart	2.88961	0	0
SRR1397180	Heart	8.94434	0.894434	0.05
SRR1342938	Thyroid	8.93674	0.893674	0.05
SRR1377800	Muscle	2.88553	0	0
SRR1380375	Blood Vessel	40.4339	5.55967	0.0687501
SRR1488960	Adipose Tissue	11.4692	1.27436	0.0555557
SRR1466792	Adipose Tissue	11.46	1.27334	0.0555558
SRR1310855	Skin	18.0101	2.25126	0.0624999
SRR1321765	Pancreas	7.36933	0.669939	0.0454545
SRR1384986	Skin	9.74791	1.0261	0.0526318
SRR1466046	Nerve	13.5596	1.59525	0.0588236
SRR1459655	Brain	2.85309	0	0
SRR1395975	Nerve	20.8474	2.68998	0.064516
SRR1431475	Skin	28.5574	3.84426	0.0673076
SRR660847	Adipose Tissue	13.3228	1.56739	0.0588236
SRR1436717	Small Intestine	23.3407	3.07115	0.0657896
SRR1454310	Muscle	2.83781	0	0
SRR614443	Brain	2.8331	0	0
SRR1477653	Skin	10.8882	1.2098	0.0555556
SRR1486457	Breast	12.9195	1.51995	0.0588239
SRR1363968	Adipose Tissue	22.3484	2.94058	0.0657895
SRR1478457	Ovary	22.3368	2.93906	0.0657896
SRR1472728	Pancreas	2.81493	0	0
SRR1100005	Esophagus	34.7812	4.83072	0.0694444
SRR1368200	Skin	12.6238	1.48515	0.0588234
SRR1448140	Blood Vessel	30.2591	4.15322	0.0686276
SRR1085450	Stomach	23.5944	3.14591	0.0666665
SRR1440940	Skin	23.4529	3.12705	0.0666666
SRR655852	Breast	15.9265	1.99081	0.0624999
SRR1442549	Nerve	19.1697	2.48496	0.0648148
SRR1443244	Breast	11.6184	1.34058	0.0576921
SRR1471074	Esophagus	12.3754	1.45592	0.0588231
SRR1390540	Liver	2.78885	0	0
SRR1476998	Skin	19.2803	2.51483	0.0652176
SRR1353994	Breast	15.4512	1.9314	0.0625
SRR1418346	Esophagus	18.1123	2.33707	0.0645161
SRR655923	Brain	2.77662	0	0
SRR1440032	Pancreas	2.77054	0	0
SRR1355723	Skin	26.9016	3.69237	0.0686273
SRR613855	Adipose Tissue	11.8984	1.39981	0.0588235
SRR1101741	Colon	6.78854	0.61714	0.0454545
SRR1078783	Esophagus	21.1904	2.82539	0.0666667
SRR1084393	Esophagus	27.2208	3.75459	0.0689655
SRR1323536	Brain	2.75545	0	0
SRR1436228	Liver	6.72981	0.611801	0.0454546
SRR614047	Skin	11.6989	1.37635	0.0588239
SRR1434436	Pancreas	6.00101	0.500084	0.0416667
SRR1441355	Blood Vessel	29.5396	4.1218	0.0697674
SRR1353400	Esophagus	7.83937	0.783937	0.05
SRR1092014	Esophagus	9.86756	1.0964	0.0555558
SRR612380	Brain	11.639	1.3693	0.0588238
SRR1455082	Blood Vessel	29.1561	4.06829	0.0697674
SRR656911	Breast	8.65467	0.911017	0.0526315
SRR1354093	Nerve	20.1787	2.6905	0.0666668
SRR1471879	Nerve	9.79025	1.08781	0.0555558
SRR1396944	Skin	17.6239	2.29877	0.0652174
SRR657777	Brain	2.73582	0	0
SRR1353970	Heart	2.73406	0	0
SRR1360235	Blood Vessel	25.2657	3.48492	0.0689654
SRR1398251	Prostate	7.7267	0.77267	0.05
SRR1331818	Blood Vessel	28.2706	3.95789	0.0700001
SRR1490486	Lung	34.2198	4.88854	0.0714285
SRR1347060	Adipose Tissue	13.7481	1.71851	0.0624999
SRR1396786	Muscle	2.70727	0	0
SRR1420517	Breast	23.0131	3.17422	0.0689655
SRR1312464	Nerve	7.49581	0.749581	0.05
SRR1478362	Muscle	2.6933	0	0
SRR1079543	Esophagus	20.764	2.83146	0.0681819
SRR1481396	Muscle	2.69035	0	0
SRR1477671	Breast	29.6779	4.2397	0.0714286
SRR614984	Blood Vessel	13.0975	1.63719	0.0625001
SRR1459211	Brain	6.35671	0.577882	0.0454545
SRR1078834	Blood Vessel	20.1501	2.74774	0.0681818
SRR814219	Esophagus	24.3497	3.40895	0.0699998
SRR1324226	Skin	17.3792	2.31722	0.0666665
SRR1447303	Adipose Tissue	28.6263	4.08947	0.0714285
SRR1377984	Brain	2.66884	0	0
SRR1308800	Skin	12.8278	1.60347	0.0624998
SRR1085134	Adipose Tissue	17.1864	2.29152	0.0666667
SRR1344205	Nerve	12.8225	1.60281	0.0624999
SRR659756	Skin	2.65458	0	0
SRR655649	Brain	6.63894	0.63228	0.047619
SRR1320624	Nerve	14.8301	1.93437	0.0652177
SRR1380414	Skin	18.7474	2.55647	0.068182
SRR1490761	Esophagus	20.0953	2.77177	0.0689656
SRR1486650	Adrenal Gland	2.64724	0	0
SRR1413746	Skin	14.7552	1.92459	0.0652173
SRR1363908	Muscle	2.64568	0	0
SRR1400530	Blood Vessel	25.5947	3.65639	0.0714287
SRR1317877	Brain	5.51803	0.459836	0.0416667
SRR1355328	Skin	19.4798	2.68687	0.0689655
SRR659649	Liver	10.5194	1.26232	0.0599996
SRR1476807	Vagina	17.7668	2.42275	0.0681819
SRR1329177	Heart	2.62414	0	0
SRR1350392	Nerve	11.9818	1.49773	0.0625002
SRR2166459	Adipose Tissue	17.5985	2.39979	0.0681817
SRR614912	Thyroid	6.93265	0.693265	0.05
SRR1317631	Adipose Tissue	11.7747	1.47184	0.0625001
SRR1414079	Blood Vessel	11.74	1.4675	0.0625
SRR656433	Heart	2.60733	0	0
SRR658885	Lung	8.42304	0.935893	0.0555555
SRR1391354	Skin	11.6704	1.4588	0.0625
SRR1376915	Esophagus	16.9467	2.31091	0.0681817
SRR1352234	Heart	2.60338	0	0
SRR1382890	Adipose Tissue	11.613	1.45162	0.0624998
SRR1399711	Blood Vessel	43.5314	6.59567	0.0757576
SRR1498931	Adipose Tissue	16.89	2.30318	0.0681818
SRR1101373	Blood Vessel	37.4371	5.61556	0.0749999
SRR1368794	Heart	16.8773	2.30145	0.0681818
SRR1081184	Liver	6.84171	0.684171	0.05
SRR1364013	Blood Vessel	11.5499	1.44373	0.0624997
SRR1398138	Esophagus	28.9592	4.25871	0.0735295
SRR663052	Blood Vessel	19.3546	2.71644	0.0701756
SRR657707	Blood	34.3182	5.14772	0.0749999
SRR1076441	Breast	13.168	1.71757	0.0652176
SRR1474600	Blood Vessel	39.7773	6.05307	0.076087
SRR1320963	Brain	2.56903	0	0
SRR1402219	Nerve	15.6211	2.13015	0.0681818
SRR659157	Skin	2.56243	0	0
SRR1475483	Thyroid	20.4517	2.92168	0.0714288
SRR1090746	Esophagus	24.2254	3.54517	0.0731705
SRR1317344	Brain	2.55611	0	0
SRR1478434	Heart	15.1883	2.07113	0.0681818
SRR1343898	Skin	24.8273	3.65107	0.0735293
SRR1486762	Adipose Tissue	15.1035	2.05957	0.0681819
SRR1414536	Skin	12.3802	1.61481	0.0652174
SRR1376228	Blood Vessel	31.2557	4.71785	0.0754718
SRR1089688	Pancreas	2.5407	0	0
SRR615515	Brain	2.53962	0	0
SRR1088068	Stomach	10.5485	1.31856	0.0624999
SRR1385343	Skin	19.1573	2.73676	0.0714286
SRR1342045	Brain	6.4383	0.64383	0.05
SRR1408449	Esophagus	14.6471	1.99733	0.0681818
SRR1362972	Breast	8.83538	1.03946	0.0588237
SRR1321420	Heart	2.53174	0	0
SRR821690	Brain	2.53032	0	0
SRR1325310	Blood Vessel	18.8072	2.68674	0.0714285
SRR1338747	Esophagus	23.1091	3.39839	0.0735293
SRR1480896	Ovary	27.5375	4.13062	0.0749999
SRR1093747	Ovary	18.6764	2.66806	0.0714286
SRR1098385	Nerve	13.0765	1.74354	0.0666669
SRR1331289	Brain	2.52516	0	0
SRR1345995	Skin	10.3278	1.29098	0.0625002
SRR615802	Skin	18.4875	2.64107	0.0714285
SRR1397073	Brain	2.5222	0	0
SRR1401468	Adipose Tissue	11.9157	1.55422	0.0652173
SRR1077996	Uterus	31.1717	4.74352	0.076087
SRR1498909	Skin	18.3294	2.61848	0.0714284
SRR1356375	Brain	2.51832	0	0
SRR1380657	Adipose Tissue	14.2064	1.93724	0.0681819
SRR1417318	Skin	15.8281	2.20857	0.0697674
SRR1406243	Heart	2.51236	0	0
SRR1308696	Heart	2.50775	0	0
SRR1412928	Stomach	21.5567	3.17011	0.0735296
SRR1485848	Uterus	20.7821	3.04128	0.0731707
SRR1376476	Colon	12.5977	1.67969	0.0666665
SRR1317446	Adipose Tissue	13.845	1.88795	0.0681817
SRR1341945	Colon	22.0464	3.26614	0.0740742
SRR1409554	Skin	21.8279	3.23376	0.074074
SRR661192	Heart	2.48977	0	0
SRR1359062	Adipose Tissue	13.4141	1.8292	0.068182
SRR1320034	Esophagus	16.8882	2.4126	0.0714286
SRR661421	Nerve	6.16427	0.616427	0.05
SRR1086020	Colon	12.1092	1.61456	0.0666667
SRR1384073	Nerve	13.2782	1.81066	0.0681817
SRR817118	Blood Vessel	19.4042	2.83963	0.0731705
SRR811357	Blood Vessel	14.3824	1.99756	0.0694446
SRR1440268	Skin	16.4945	2.35636	0.0714287
SRR1361567	Brain	2.46649	0	0
SRR656970	Breast	16.1345	2.30493	0.0714286
SRR813076	Skin	40.6886	6.44572	0.0792079
SRR811819	Blood Vessel	22.2084	3.33127	0.0750002
SRR1456010	Breast	19.98	2.96001	0.0740743
