SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR1099402	Prostate	17.5888	9.06092	0.257576
SRR1318208	Colon	8.19576	4.09788	0.25
SRR1469169	Blood	47.2008	24.7242	0.261904
SRR659935	Blood	28.9394	15.0726	0.260417
SRR1340260	Salivary Gland	19.8962	10.2911	0.25862
SRR1433066	Kidney	19.8011	10.2419	0.258619
SRR1470253	Prostate	8.07443	4.03722	0.25
SRR1347278	Pituitary	8.067	4.0335	0.25
SRR658501	Blood	44.7307	23.4653	0.262295
SRR1081864	Skin	18.5717	9.60606	0.258621
SRR1087055	Testis	7.83162	3.91581	0.25
SRR598792	Pancreas	7.80693	3.90346	0.25
SRR821518	Testis	0.443218	0	0
SRR1498813	Lung	37.1289	19.4485	0.261905
SRR1465153	Thyroid	18.1542	9.3901	0.258621
SRR1318026	Pituitary	23.0268	11.9739	0.259999
SRR1490360	Esophagus	24.9728	13.0067	0.260417
SRR1089785	Pituitary	7.76498	3.88249	0.25
SRR1391856	Adipose Tissue	7.7524	3.8762	0.25
SRR1414332	Prostate	7.73258	3.86629	0.25
SRR1479933	Heart	7.69275	3.84637	0.25
SRR1073291	Skin	22.2071	11.5477	0.26
SRR1400312	Stomach	7.64827	3.82413	0.25
SRR1435584	Heart	29.3576	15.346	0.261363
SRR1452604	Blood	28.0612	14.6588	0.261193
SRR1069209	Prostate	7.62417	3.81209	0.25
SRR1499503	Spleen	33.3272	17.4571	0.261905
SRR1333718	Blood	33.0624	17.3184	0.261905
SRR602951	Thyroid	15.626	8.06506	0.258065
SRR1342067	Adipose Tissue	20.9836	10.9115	0.260001
SRR1395462	Bone Marrow	35.5861	18.6681	0.262295
SRR614155	Brain	7.49235	3.74618	0.25
SRR816818	Prostate	24.115	12.5817	0.260869
SRR819510	Skin	66.4874	35.1021	0.263976
SRR1343778	Pituitary	24.0362	12.5406	0.260869
SRR1079730	Esophagus	44.6324	23.4907	0.263157
SRR1312244	Skin	16.2451	8.40263	0.25862
SRR1353878	Liver	7.37909	3.68954	0.25
SRR1309032	Adipose Tissue	7.35611	3.67806	0.25
SRR603333	Brain	7.32195	3.66098	0.25
SRR1071931	Blood	41.0067	21.5825	0.263158
SRR1342023	Lung	17.3026	8.97172	0.259259
SRR1458335	Breast	15.7592	8.1513	0.25862
SRR1339175	Lung	18.8173	9.78501	0.26
SRR1402882	Brain	7.19747	3.59874	0.25
SRR1453787	Thyroid	21.6261	11.2832	0.26087
SRR1431429	Skin	26.7108	13.9914	0.261905
SRR1363766	Esophagus	21.2394	11.0814	0.260869
SRR1416841	Salivary Gland	7.13631	3.56815	0.25
